sample_id,partition,scaffold
mol_10b05b3f0710232a,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_10bc300ad8b717c6,test,c1ccc2scnc2c1
mol_10c7d9fb390a762e,test,ACYCLIC:CC(C)(C)C(=O)CCl
mol_1111c960861b415b,test,c1ccc2c(c1)Cc1ccccc1-2
mol_11120ddd9bb0ff81,test,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
mol_11821d89fd7d01c5,test,O=C1CCCO1
mol_11bae16e20a8c312,test,ACYCLIC:OB(O)O
mol_11e6a061f710e771,test,c1ccc(Cc2ccccc2)cc1
mol_12895bc212dff845,test,C1=CCCCC1
mol_128effc83599df90,test,C=C1CCCCC1=CC=C1CCCC2CCCC12
mol_131d2325326adc67,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_15446e6aa276884d,test,c1c[nH]cn1
mol_1556d9e59de737bd,test,C1CCOC1
mol_15a52ab23f9d0350,test,c1ccc2[nH]ccc2c1
mol_15a6eeabab1561a0,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_15d090429620ca09,test,c1c[nH]cn1
mol_1683aec6c372a8a0,test,c1ccc2ccccc2c1
mol_1768fd8ddc6c82fd,test,ACYCLIC:ClCCCCl
mol_17842a206ad9b142,test,c1ncncn1
mol_1890702fbd53eaca,test,c1ccc(Cc2ccccc2)cc1
mol_199c63b47e3551b2,test,C1CCOC1
mol_199cec22d4a69de0,test,c1ccc(Cc2ccccc2)cc1
mol_19aade61e32c9d66,test,c1ccc(Cc2ccccc2)cc1
mol_1ac97e6f34676d55,test,c1ccsc1
mol_1af0251587cc94d7,test,c1ccc(Cc2ccccc2)cc1
mol_1b37d7ef1dd44509,test,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
mol_1b6c0d73032904be,test,C1COCCN1
mol_1c453787b831bb96,test,c1ccc2[nH]ccc2c1
mol_1c6bf38c87bfa511,test,C1=CCCCC1
mol_1c79b7440424bb36,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_1d30fe117c414b33,test,c1ccc2c(c1)Nc1ccccc1S2
mol_1d8e500db0576487,test,c1ccc(Oc2ccccc2)cc1
mol_1dad0754d995c20e,test,c1ncncn1
mol_1e66b5b6a6cde863,test,O=C(Nc1ccccc1)c1ccccc1
mol_1e85fe755c03e406,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_1ea9d509d125ff90,test,c1ccc2c(c1)Cc1ccccc1-2
mol_1f20a31e0f74e936,test,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
mol_1f2662862dfcd9df,test,O=C(Nc1ccccc1)c1ccccc1
mol_1f69a635607dee94,test,C1=CCCCC1
mol_1f73ce28d943d6f9,test,c1c[nH+]c[nH]1
mol_1fc581eaaa611db9,test,c1ccc2cc3ccccc3cc2c1
mol_1fec2e6032a7893a,test,c1ccc2scnc2c1
mol_2040118db55a1c7a,test,c1ccc(CCc2ccccc2)cc1
mol_207f309c76a821d3,test,O=C1CCCO1
mol_20f72ae6b2961c11,test,c1ccc(Oc2ccccc2)cc1
mol_211f95cea2e19bc1,test,ACYCLIC:C=CCNC(N)=S
mol_21a5e7cbdf82178c,test,C1COCCN1
mol_225f15929c81667b,test,ACYCLIC:BrCCCBr
mol_22b52a4048a44746,test,c1ccc(Nc2ccccc2)cc1
mol_22d6d5e9f3741b30,test,c1ccc(Oc2ccccc2)cc1
mol_235feb86018f431b,test,c1ccc2cc3ccccc3cc2c1
mol_2360397c02f47e5b,test,c1ccc2c(c1)Cc1ccccc1-2
mol_2366461d4b7d229f,test,C1=CCCCC1
mol_239e7ef5bf2b8efe,test,c1ncncn1
mol_242ce752758e3624,test,C=C1CCCCC1=CC=C1CCCC2CCCC12
mol_2430f05c78e82e65,test,O=C(Nc1ccccc1)c1ccccc1
mol_249cb95cb017895c,test,c1ccc(Oc2ccccc2)cc1
mol_24d1f805c12fcd34,test,c1ccc2[nH]ccc2c1
mol_2586129b88c76a83,test,O=C(Nc1ccccc1)c1ccccc1
mol_25f47a441a565333,test,c1ccc(Cc2ccccc2)cc1
mol_26871d4a8a6616a9,test,C1CCOC1
mol_268c869b48bea535,test,c1ncncn1
mol_2732dc883fd1f923,test,c1c[nH+]c[nH]1
mol_277899af42a5c88a,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_27b4bd7a9647c7d2,test,C1=CCCCC1
mol_27ed8e9fd9dac4ce,test,C1=CCCCC1
mol_292907391a086fd1,test,c1cscn1
mol_29681c90f78723a3,test,C(=Cc1ccccc1)c1ccccc1
mol_29a5cadf3184f077,test,C1=CCCCC1
mol_29efc35a8859a719,test,c1ccc2c(c1)Nc1ccccc1S2
mol_2a8bc36cbb493a87,test,c1cscn1
mol_2b56e693f49ffc34,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_2ba0a4db4c3a1d8c,test,ACYCLIC:CCC(CC)C(=O)O
mol_2ba82083ca9c5653,test,c1ccc(Cc2ccccc2)cc1
mol_2c0f9db059325759,test,c1ccc2c(c1)Nc1ccccc1S2
mol_2c2d16c4f1a32606,test,c1c[nH+]c[nH]1
mol_2c519435e90a1985,test,c1ccc(Oc2ccccc2)cc1
mol_2c6a42b041953c2d,test,O=C(C=Cc1ccccc1)NC1CC1
mol_2c8c5177f005621b,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_2ca230cd2ebfc89f,test,c1ccc(Oc2ccccc2)cc1
mol_2d13a53ff3147afd,test,c1ncncn1
mol_2d1526facc27ee52,test,c1ccc2ccccc2c1
mol_2d24a1a6e28bf206,test,O=C1CCCN1
mol_2d2aa2902cfa872c,test,c1ccc(Cc2ccccc2)cc1
mol_2d7ebca6bcdb89c6,test,C1=CCCCC1
mol_2e3f8508df2a4f09,test,C1=CCCCC1
mol_2e6624ce9c27337d,test,c1ccc(Oc2ccccc2)cc1
mol_2e7203cffdc76d65,test,c1ccc(Cc2ccccc2)cc1
mol_2e9b5e03f3635975,test,c1ccc2ccccc2c1
mol_2f476f676edbc87d,test,C1=CCCCC1
mol_2facf54b6c6c78ab,test,c1ccc2ccccc2c1
mol_2fc7209f4cdc43d2,test,c1ccc(Nc2ccccc2)cc1
mol_2fc88d38619526f1,test,c1ccc2cc3ccccc3cc2c1
mol_2ff56dc540e06f79,test,C1=CC(c2ccccc2)C=CN1
mol_305112f3daf93c3d,test,C1=CCCCC1
mol_310ba29c3c361c21,test,C1=CCCCC1
mol_3167ec624f19fe5f,test,c1ccc(Nc2ccccc2)cc1
mol_31dccaa1d79acf9a,test,c1ccc(Cc2ccccc2)cc1
mol_3200e21c07d2e884,test,c1ccc2[nH]ccc2c1
mol_32a1baf12d631c9a,test,C1=CCC(c2ccccc2)CC1
mol_32eff759c29534c2,test,O=C1CC(=O)C1
mol_330c160a80e354ea,test,O=C(Nc1ccccc1)c1ccccc1
mol_3319b3e4a6e37dd3,test,C1=CCCCC1
mol_332ba43ba85357f5,test,c1cc[nH+]cc1
mol_336c600868144f95,test,c1ccc2ccccc2c1
mol_3378699e668bb169,test,C1CCC2OC2C1
mol_33b2ee7e1ab836c2,test,c1ccc2ccccc2c1
mol_3523cbba93cdc57f,test,c1ccc(Oc2ccccc2)cc1
mol_354bb116e465a321,test,c1ccc(Cc2ccccc2)cc1
mol_35f40f2822801f0c,test,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
mol_35f5cc4ad90bf930,test,c1c[nH]cn1
mol_36fa2eafae00eae0,test,c1ccc(Oc2ccccc2)cc1
mol_3760c5e33c70bfa0,test,c1ccc(Oc2ccccc2)cc1
mol_378c7ee32027c829,test,c1ccc(Nc2ccccc2)cc1
mol_38047821d71f1107,test,c1ncncn1
mol_3808e5e22b8bcc01,test,c1ccc(Nc2ccccc2)cc1
mol_3811f42d3c15ed32,test,O=c1cc(-c2ccccc2)oc2ccccc12
mol_388c1a75ce21c56d,test,C1=CCCCC1
mol_389171c405c6659d,test,c1ccc2[nH]ccc2c1
mol_38b53e04571b485e,test,ACYCLIC:CS(=O)(=O)Cl
mol_38d9a995591c0e13,test,c1ccc2scnc2c1
mol_39a0b100c3af1485,test,c1ccc(Oc2ccccc2)cc1
mol_39abbb486ceabce6,test,O=C(Nc1ccccc1)c1ccccc1
mol_3a985446a872d5b9,test,ACYCLIC:CC(C)OCCO
mol_3ad78bc6cb29b6b1,test,c1ccc2ccccc2c1
mol_3af644800ce7ff20,test,ACYCLIC:CC/C=C\CCOC(C)OCC
mol_3bdc9406dc447d9e,test,c1ccc(Oc2ccccc2)cc1
mol_3c9fb5c79d0841be,test,c1ccc2c(c1)Nc1ccccc1S2
mol_3cb29c46b97fbb35,test,O=C1CCCO1
mol_3ce02b646a88a2d9,test,c1ccc(Nc2ccccc2)cc1
mol_3de85e8d5a43844e,test,C1COCCN1
mol_3ed19498ab208d0b,test,O=c1cc(-c2ccccc2)oc2ccccc12
mol_3f5bb2fea4f2892c,test,O=C1C=CCCC1
mol_3f647e0ca6d97429,test,c1cscn1
mol_4004f32bf2dd5d7f,test,c1ccc2ccccc2c1
mol_401886e12f85529f,test,O=C1CC(=O)NC(=O)N1
mol_41cf93705215b50f,test,c1ccc(Cc2ccccc2)cc1
mol_41d51fc8e8254961,test,c1cscn1
mol_4220f9321b078de2,test,c1ccc2ccccc2c1
mol_423df9c03c4b1878,test,c1ccc(Oc2ccccc2)cc1
mol_424ec3dfed069438,test,c1ccc(Nc2ccccc2)cc1
mol_42d367e35c34418b,test,O=C1CNC(=O)N1
mol_42d675b06e0f7818,test,c1ncncn1
mol_42eaa6c1f49b8cde,test,O=c1cc(-c2ccccc2)oc2ccccc12
mol_43dec6a3b53a0a93,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_44767dd4910cb697,test,c1ccc(Cc2ccccc2)cc1
mol_44c40e296526df3f,test,O=C1C=CC(=O)C=C1
mol_44d39b6d3ea73ac7,test,c1ncncn1
mol_45907cc55e40ddcf,test,c1ccc(N2CCNCC2)cc1
mol_45a524c6b7883abb,test,c1ccc2ccccc2c1
mol_46517e62aee0b803,test,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
mol_477295b5e8203a3b,test,c1ccc(Cc2ccccc2)cc1
mol_4819c74cd37102e6,test,C1CCC2C(C1)CCC1C3CCCC3CCC21
mol_483062bba77e9535,test,C1COCCN1
mol_49dd6ecd65687a05,test,c1ccc2scnc2c1
mol_49ef9058def9738f,test,c1ccc2scnc2c1
mol_4a623c6a9504c6c3,test,c1ccsc1
mol_4b4db6feeee61f40,test,c1ccc2scnc2c1
mol_4b70f06f3bf75871,test,C(=Cc1ccccc1)c1ccccc1
mol_4b78822c3cdf3f07,test,c1ccc(N2CCNCC2)cc1
mol_4c79556cc624f23a,test,c1ccc(Cc2ccccc2)cc1
mol_4ce4bfcac1a191c3,test,c1cscn1
mol_4dc74a450466dd03,test,c1ccc(Cc2ccccc2)cc1
mol_4def7d156ba30caf,test,c1ccc2ccccc2c1
mol_4df6d51c6e2e9507,test,C1COCCN1
mol_4e44bcece80cabe3,test,c1c[nH]cn1
mol_4eac3683541c83f5,test,c1ccc2ccccc2c1
mol_4f17b05637c23029,test,c1ccc2ccccc2c1
mol_4f25fc6d47a54c50,test,c1ccc(Oc2ccccc2)cc1
mol_4f46a033f566bda8,test,c1c[nH+]c[nH]1
mol_4f5de104cbabf11f,test,c1ccc2ccccc2c1
mol_4fb53c5a6b7f3147,test,C1=CCCCC1
mol_4ff9a4695b03941f,test,O=C1C=CCCC1
mol_4ffae2d9701edf20,test,c1ccc(Cc2ccccc2)cc1
mol_501591c89219a942,test,C(=Cc1ccccc1)c1ccccc1
mol_502bd23f3ce8c835,test,O=C1CCCN1
mol_50b7ce3204d83788,test,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
mol_526edb290224bb36,test,c1cscn1
mol_52a75ffda842da36,test,c1ncncn1
mol_52b4aa8ff8daa0c5,test,c1ccc2scnc2c1
mol_52efc7a5fff94e44,test,C1=CC2CC(C1)C2
mol_52f5de3d90eb1055,test,c1ccc2[nH]ccc2c1
mol_537d537fccd75939,test,C1CCC2C(C1)CCC1C3CCCC3CCC21
mol_538e5865a240430c,test,c1ccc(Nc2ccccc2)cc1
mol_53aabc49561da3c0,test,c1ccc2ccccc2c1
mol_53c3af7e6a3e6e8e,test,c1ccc2ccccc2c1
mol_54595a6b2c6543ab,test,O=C(Nc1ccccc1)c1ccccc1
mol_549ebd7115a73ff2,test,C(=Cc1ccccc1)c1ccccc1
mol_54a66eec8de96f43,test,O=C(Nc1ccccc1)c1ccccc1
mol_54b9ed52a3ab3a47,test,O=C1CC(=O)NC=N1
mol_54cd1c02669cc70b,test,c1ccc(Cc2ccccc2)cc1
mol_54f6620cb48f7880,test,O=c1ccc2ccccc2o1
mol_55b0153978789ab6,test,c1ccc2ccccc2c1
mol_564c8f40df7b2514,test,c1ccc2ccccc2c1
mol_565876481e3e9396,test,c1ccc2scnc2c1
mol_570eeb1debae8940,test,C1CCNC1
mol_57a4b2b2c34e85e4,test,c1c[nH+]c[nH]1
mol_583ccfabc2a185cc,test,O=C1CC(=O)NC(=O)N1
mol_590d37db6fcc348c,test,c1c[nH+]c[nH]1
mol_5927f0d04cffe57a,test,c1ccc(Oc2ccccc2)cc1
mol_59af27c13c5197d5,test,c1ncncn1
mol_5a0630b242bf5e78,test,c1ccc2scnc2c1
mol_5a1139024390e5e5,test,c1ccc(Nc2ccccc2)cc1
mol_5a20271167aa3cfd,test,ACYCLIC:COC(=O)CC(C)=O
mol_5a8e0694b8f904a6,test,c1ccc(Nc2ccccc2)cc1
mol_5a9bc0e97cc077a6,test,c1ccc2c(c1)Nc1ccccc1S2
mol_5aa1e1d0fdf4e845,test,C1=CCCCC1
mol_5af9dc43ce425eaa,test,C1=CCCCC1
mol_5b5fb693aefcabce,test,C1=CCCCC1
mol_5bb448bc24b197fa,test,c1ccc(Cc2ccccc2)cc1
mol_5bd5af880d7096b8,test,c1ccc2ccccc2c1
mol_5c02d47ce965bbdc,test,c1ccc(Cc2ccccc2)cc1
mol_5c127711a2c72f35,test,c1ccc(Cc2ccccc2)cc1
mol_5c2d4306fe1e3da2,test,c1c[nH]cn1
mol_5c41b0b7e878eaf5,test,O=c1nn[nH]c2ccccc12
mol_5c4296c9e02fbf6e,test,c1ccc2ccccc2c1
mol_5d0a9f676831c8ca,test,O=C1CCCN1
mol_5d8b2cb75ab35973,test,C1COCCN1
mol_5d99a29e248665ba,test,C1=CC(c2ccccc2)C=CN1
mol_5dde24706f6b21b3,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_5e30d8a70ca06147,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_5eada6f9b8580fb1,test,C1=CCCCC1
mol_5ec7fa046c51e2b3,test,c1ccc2ccccc2c1
mol_5ed679d9e097b0d2,test,O=C1CCCN1
mol_5ee447ccf47cda95,test,c1ccsc1
mol_5fae8445db755d6e,test,c1ccc(Cc2ccccc2)cc1
mol_604222919e639010,test,c1c[nH]cn1
mol_6046607238342427,test,C1=CC(c2ccccc2)C=CN1
mol_60dc8c5e293285a9,test,c1c[nH]cn1
mol_60e0f21f84a4a91a,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_6100837e9c5d44d0,test,c1ccc(Nc2ccccc2)cc1
mol_6110f18f23bcb405,test,C1CCC2C(C1)CCC1C3CCCC3CCC21
mol_613d5023a25a028a,test,c1ccc2ccccc2c1
mol_620d53c46fc661fa,test,c1ccc(N2CCNCC2)cc1
mol_6226b25bcd12d99b,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_624ca160e1638351,test,C1=CC(c2ccccc2)C=CN1
mol_628d05414bfc827c,test,c1ccc2cc3ccccc3cc2c1
mol_62cef446fe85324f,test,c1ccc2ccccc2c1
mol_62f67169d942b64a,test,c1ccc2ccccc2c1
mol_6303ce3b8e370fc2,test,c1ccc(Cc2ccccc2)cc1
mol_640e1867764f94ca,test,c1ccc2[nH]ccc2c1
mol_64885429dd902348,test,O=C(Nc1ccccc1)c1ccccc1
mol_64a33a12272d3777,test,c1ccc(Cc2ccccc2)cc1
mol_64deb0c55399c8b9,test,c1ccc(Cc2ccccc2)cc1
mol_6550b9551bbc7c6f,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_6551c6401e382adc,test,c1nnc[nH]1
mol_65698dbdfcd8e491,test,c1ccc(Cc2ccccc2)cc1
mol_65fc41d07642e334,test,c1ccc(Cc2ccccc2)cc1
mol_6600419a8b56c794,test,c1ccc2ccccc2c1
mol_663a1f4641730803,test,c1ccc(Cc2ccccc2)cc1
mol_66594b79d38dcf0e,test,c1ccc(Nc2ccccc2)cc1
mol_665a65efb13e8176,test,c1ccc2c(c1)Cc1ccccc1-2
mol_6687c6375359e096,test,c1ccc(Cc2ccccc2)cc1
mol_677b66517cb8f323,test,c1ccc(Cc2ccccc2)cc1
mol_67dd06261252d785,test,c1c[nH]cn1
mol_680bee5ee6c9f3a9,test,c1ccc2ccccc2c1
mol_68a6a22f2ffb0d5d,test,c1ccc(Nc2ccccc2)cc1
mol_68b456c6708e761b,test,C1=CCCCC1
mol_68e072b0f3bcce36,test,ACYCLIC:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
mol_69806f649e38321f,test,c1ccc(Cc2ccccc2)cc1
mol_69923c7ef7926132,test,c1ccc2ccccc2c1
mol_6a010f61d3933e3e,test,c1ccc2[nH]ccc2c1
mol_6a16023f577cf017,test,C1=CCCCC1
mol_6aa052f2cebc0952,test,c1ccsc1
mol_6aec959e0250758a,test,c1c[nH+]c[nH]1
mol_6b0b3bce0328c156,test,c1ccc2[nH]ccc2c1
mol_6b311c8fa4138959,test,c1ccc(Cc2ccccc2)cc1
mol_6b51d3cf968347d9,test,c1ccc2scnc2c1
mol_6b7bd74471640e5c,test,C1CCNC1
mol_6b8f33b27cded3f2,test,C1=CC(c2ccccc2)C=CN1
mol_6beca8acdc131f42,test,O=c1ccc2ccccc2o1
mol_6c6343ba4f5db2aa,test,c1ccc(Nc2ccccc2)cc1
mol_6d1fc3958b92f1aa,test,c1ccc2c(c1)Nc1ccccc1S2
mol_6d3e1ebbe2c4991b,test,c1ccc2c(c1)Cc1ccccc1-2
mol_6de4c35ce2541ade,test,O=C(Nc1ccccc1)c1ccccc1
mol_6e798c4981cbec3a,test,c1cscn1
mol_6e86e26de7891e1c,test,c1cc[nH+]cc1
mol_6e8c4fc66324e8f4,test,c1ccc(Nc2ccccc2)cc1
mol_6eb5fa42c1b8774b,test,c1c[nH+]c[nH]1
mol_6eeea66fe563b848,test,c1ccc2ccccc2c1
mol_6f2631351ee8e604,test,O=S(=O)(Nc1cccnn1)c1ccccc1
mol_6f266b2c3f7d35c0,test,c1cscn1
mol_6f92b5eec7f1eb0e,test,c1ncncn1
mol_6f9669b5fe73c479,test,ACYCLIC:COCCl
mol_6fb4cbeebf372106,test,c1ccc2cc3ccccc3cc2c1
mol_70b2d740ed468d9e,test,O=S(=O)(Nc1cccnn1)c1ccccc1
mol_7112f6cc549a2fd2,test,c1cc[nH+]cc1
mol_716710b501e73b9d,test,c1ccc(Cc2ccccc2)cc1
mol_71b7b84717404168,test,c1ccc2cc3ccccc3cc2c1
mol_72618db6f7800ec3,test,c1ccc2ccccc2c1
mol_727aa6152c304978,test,O=C1CC(=O)NC=N1
mol_728f14646abaa50d,test,C=C1CCCCC1=CC=C1CCCC2CCCC12
mol_72c33ba7d712fa9a,test,C1CCOC1
mol_73c26d65a26a0591,test,ACYCLIC:N#CCCC#N
mol_7422375cbe82408a,test,ACYCLIC:COC(C)(C)OC
mol_750a8f0e9c58fe3f,test,c1ccc(Cc2ccccc2)cc1
mol_75851350fc32d696,test,c1ccc(Cc2ccccc2)cc1
mol_75a954d1a4999253,test,O=c1cc(-c2ccccc2)oc2ccccc12
mol_76a3b1f992ce0638,test,C1=CC2CC(C1)C2
mol_771a915b853c026a,test,O=C1CCSSCCNC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)CNC(=O)CN1
mol_779343e49ed5e0e9,test,O=C(Nc1ccccc1)c1ccccc1
mol_77fd15762f710bb6,test,c1cscn1
mol_785dfc046f748964,test,c1cc[nH+]cc1
mol_788a1039324dbade,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_78b525e4f431b8fb,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_78d4812342a7f885,test,C1CCC2OC2C1
mol_794e52631c3700c9,test,N=C1C=C2CCNC2=CC1=O
mol_7a612863ed71112e,test,c1ccc2[nH]ccc2c1
mol_7a96964d15f4925f,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_7aa2262c615f7be1,test,O=C1C=CCCC1
mol_7af7a992bcfe916e,test,c1c[nH+]c[nH]1
mol_7b5cc670fa201d56,test,O=c1ccc2ccccc2o1
mol_7c17b5f82019d5a1,test,c1ccc(Nc2ccccc2)cc1
mol_7c228b3ecc3dd8c9,test,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
mol_7ca6472037999527,test,C1CCOC1
mol_7cc3614ffb8f4e07,test,O=C1CC(=O)NC=N1
mol_7d1fb071c56f4703,test,c1ccc(Oc2ccccc2)cc1
mol_7d9ef88380279b12,test,C(=Cc1ccccc1)c1ccccc1
mol_7e4e289d7d4365b9,test,c1ccc2scnc2c1
mol_7e73d460d7bcba7f,test,c1ccc2ccccc2c1
mol_7e97ae73ba824eed,test,c1ccc(N2CCNCC2)cc1
mol_7ea1ae49d8fe9ef6,test,ACYCLIC:CCS(=O)(=O)C(C)(C)S(=O)(=O)CC
mol_7ec810bcd8db137c,test,c1ccc2scnc2c1
mol_7ec9981a118f873b,test,c1ccc2c(c1)Nc1ccccc1S2
mol_7f540a67637f8fd4,test,c1ccc(Oc2ccccc2)cc1
mol_7f93bcaa2f9fc397,test,c1ccc2ccccc2c1
mol_7fcfa01cc95af34d,test,c1ccc(Cc2ccccc2)cc1
mol_7fe1add6abede682,test,O=C1C=CC(=O)C=C1
mol_8057eb5b450eed1a,test,c1ccc(Oc2ccccc2)cc1
mol_808e1f6f4dda57ca,test,O=C(Nc1ccccc1)c1ccccc1
mol_812ead353fb2ed3e,test,c1ccc2ccccc2c1
mol_819a8821b2532965,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_819c9dd51a6c2249,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_8257181278f65a73,test,ACYCLIC:CCN(CC)CCO
mol_827eab27a70bd91d,test,O=C(Nc1ccccc1)c1ccccc1
mol_82801ab33418a16a,test,c1ccc(Cc2ccccc2)cc1
mol_82831c241b25d401,test,c1ccc2c(N=Nc3cccc4ccccc34)cccc2c1
mol_82e96bbd1e4622b5,test,C1=CCCCC1
mol_83204d7da64e16fd,test,c1ccc2ccccc2c1
mol_84111b75782e50ca,test,c1ccc2ccccc2c1
mol_84391bbb8b55b2b7,test,C1CCOC1
mol_84c1a1774fc72d02,test,c1ccc2[nH]ccc2c1
mol_84d19d1217e76c39,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_852e9f38b4b556aa,test,ACYCLIC:CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
mol_858b4a8a357db588,test,c1ccc(Cc2ccccc2)cc1
mol_85ed48d831856142,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_863ed85558a58226,test,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1
mol_8674242e2096f144,test,C1=CCCCC1
mol_86b59d159a6a0ac7,test,c1ccc(CCc2ccccc2)cc1
mol_86da600f8a3e97fa,test,C1=CC(c2ccccc2)C=CN1
mol_873eff9ff1591b28,test,C1CCC2C(C1)CCC1C3CCCC3CCC21
mol_87a4502b51457cfe,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_88dc18382d3959a0,test,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
mol_895382b9647f1825,test,c1c[nH+]c[nH]1
mol_8a1349cdba107e04,test,C1=NCSC1
mol_8a8babb228839613,test,c1ccc(CCc2ccccc2)cc1
mol_8ba295e140f70550,test,C1=CC(c2ccccc2)C=CN1
mol_8bdb3aea13a16023,test,c1ncncn1
mol_8c8e3d497c7a204a,test,c1ccc2scnc2c1
mol_8cdfcd7b604185b8,test,O=C1C=CC(=O)C=C1
mol_8d385535892e513a,test,c1ccc2c(c1)Cc1ccccc1-2
mol_8d64dd27a4ae730e,test,C1COCCN1
